p_m=Param m,p_s=Param s,n=Gen (#),t=Time (s),m=Mass (mg),g=Growth (mg/s),r=Gyradius (mm),d=Mass-growth distance (mm),s=Speed (mm/s),w=Angular speed (deg/s),m_a=Mass asymmetry (mg),x=X position(mm),y=Y position(mm),l=Lyapunov exponent,k=Rotational symmetry,w_k=Rotational speed
0.231,0.0565,65,8.125,34.09206400253253,20.53722309579682,2.515404437179035,0.11137439116101668,0.03178060182006812,-552.3405045432719,0.2287533488250756,-0.9940534980223109,9.840071197127969,0,0,0
0.231,0.0565,66,8.25,34.282610904276694,20.61898578852809,2.5189863737902964,0.0848112420078056,0.028264565064138183,298.1074045438818,-1.3097325260043045,-1.0367892172831756,9.896344579276303,0,0,0
0.231,0.0565,67,8.375,34.46663022573264,20.34141884465272,2.52207801948888,0.09483719798198996,0.3396975874262227,-391.1326567264382,1.1469850410378581,-1.8840723407958953,9.95402149628394,0,0,0
0.231,0.0565,68,8.5,34.64948150585583,20.07911637582742,2.5258680526013286,0.08413329936008805,0.02844484963388546,510.5145356892517,-0.2965070344515402,-1.9110464075593292,10.019819170361991,0,0,0
0.231,0.0565,69,8.625,34.81809278157278,19.75156257477252,2.529028720275711,0.05940033526726503,0.28722449751738854,179.4729921046719,-0.7036818974540734,-1.9092578150951183,10.737878186582263,0,0,0
0.231,0.0565,70,8.75,34.98106373649168,19.651119852747055,2.5320923358135103,0.04496966079211157,0.020080353855100055,181.71052191407307,-1.531919842188663,-1.889758538414837,10.784137315706777,0,0,0
0.231,0.0565,71,8.875,35.25088420193358,19.86422348042109,2.540188770611026,0.06438642086167198,0.04036809652915546,-1292.198566528631,1.7731646263931338,-1.9564080173932792,10.708356433813174,0,0,0
0.231,0.0565,72,9.0,35.405084127235085,19.705591407800057,2.5427902042257986,0.0674683363527422,0.06475532740912461,1292.9837784003084,-1.4335392121956647,-1.8932710959336652,10.85742540047876,0,0,0
0.231,0.0565,73,9.125,35.568639515647575,20.094639644750256,2.546620129393127,0.04930408689953518,0.033656030871752576,38.027727712208616,-1.29792303685472,-1.8541486555046043,10.931916925114969,0,0,0
0.231,0.0565,74,9.25,35.74010378476992,20.42595725506175,2.5515536848882157,0.04346924941335676,0.024232724372676605,-127.99893734723173,-1.129387709204998,-1.8418548593893433,10.991238239942268,0,0,0
0.231,0.0565,75,9.375,35.90821436909684,20.670241438196896,2.5569742568065337,0.07162262136590654,0.02191337850957771,-184.39781823444446,0.05697510420551453,-1.8526283217586823,11.044951911332582,0,0,0
0.231,0.0565,76,9.5,36.068148305428515,20.808557558970765,2.561383521312606,0.11454379394741672,0.32205127239255693,80.41484839781515,-0.25352550986086725,-1.8707482823979624,11.849876165431585,0,0,0
0.231,0.0565,77,9.625,36.2059516138156,20.88581090226718,2.564781467708482,0.11197445025770669,0.0194511631353912,-491.3185245843406,0.3998999257789342,-1.9139615939388972,11.872176011314766,0,0,0
0.231,0.0565,78,9.75,36.354008149832836,21.116336356879806,2.568226561963288,0.0912035150130572,0.015391300458155155,353.9909193111307,0.26270722615684006,-1.9261426035506146,11.908675310157989,0,0,0
0.231,0.0565,79,9.875,36.49228229116838,21.279152002319435,2.571340478224646,0.06576588386729544,0.007767502171094795,-11.265969468488947,0.3046997520073637,-1.9327408088037312,11.926938709343244,0,0,0
0.231,0.0565,80,10.0,36.62621863621871,21.487442265780683,2.574500557461369,0.045730454887542786,0.005635893260933231,268.0151242041966,-0.7265342647737907,-1.9294186123839971,11.940631174105027,0,0,0
0.231,0.0565,81,10.125,36.757800940684355,21.63572510200811,2.577800109490856,0.031635806241077105,0.006038830651474841,301.15369817996543,-0.9488340696927707,-1.917639308618973,11.950074146388356,0,0,0
0.231,0.0565,82,10.25,36.88328683548642,21.728829272715192,2.5812148633879617,0.028922668048937488,0.00734950849084162,217.5819461042065,-0.6667550555119874,-1.8996356722328094,11.953743553149778,0,0,0
0.231,0.0565,83,10.375,37.00176221821749,21.818419347429263,2.584793913986223,0.040553846366913206,0.00805850030762131,77.54965731577613,-0.9009837306360328,-1.8794996542684252,11.954385581644143,0,0,0
0.231,0.0565,84,10.5,37.1140843933417,21.946266155065533,2.5884568047416603,0.055972451922097016,0.007844616309188791,-55.89092789355345,-0.6142357325899342,-1.8601196332975307,11.957390131303848,0,0,0
0.231,0.0565,85,10.625,37.22745800093065,22.165114331344313,2.5920771869081025,0.0677352154544598,0.009372696362034158,-33.00710572924254,-0.5266551273689128,-1.837282800628457,11.962636611599034,0,0,0
0.231,0.0565,86,10.75,37.33714648066137,22.368345254943314,2.595594507710924,0.07343031284884599,0.012652136387036515,23.262074849876626,-0.4372648211664864,-1.8061359457805373,11.968145867702058,0,0,0
0.231,0.0565,87,10.875,37.43897107903852,22.537389645790416,2.5988160420320656,0.07303013978563148,0.01576282534482016,20.304500225410266,-0.576614594157952,-1.7670653571868549,11.973284520226201,0,0,0
0.231,0.0565,88,11.0,37.53167731097958,22.654040195999006,2.6016749997204975,0.0627449132323372,0.019196132903320597,86.37390653003513,-0.9830808580798953,-1.7191547981902355,11.970518597795325,0,0,0
0.231,0.0565,89,11.125,37.61743388808753,22.74308266400513,2.6042963943234834,0.054040338070736715,0.02478645232115102,14.474810429353056,-1.0908819000651624,-1.657435279535654,11.964995701478529,0,0,0
